sesso,prov,comune,istituto,tipo,annomat,votomat,score,idtest
F,51,24,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,63,7.25,28
M,47,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,13,28
M,47,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,65,13.75,28
M,48,32,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,14.5,28
F,50,32,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,76,16.5,28
M,48,27,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,63,20.5,28
M,14,67,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,78,11.25,28
F,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,97,20.75,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,96,22,28
F,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,82,13.75,28
M,51,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,95,19.75,28
M,51,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,74,18.5,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,16,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,65,14.5,28
F,64,8,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,83,13.5,28
F,51,7,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,80,6.75,28
M,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,93,12.5,28
F,51,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,91,15.25,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,66,15.75,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,60,10.5,28
F,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,85,11.75,28
M,47,8,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,19.5,28
F,48,16,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,11.5,28
M,63,74,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,73,9,28
F,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,92,10,28
M,53,11,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,81,15,28
